ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
WT;WT-5462;rebalance evergreen python test buckets reshuffle windows python tests durable historyafter enabled test_hs09 tests durable history section runs python tests windows takes much longer time sections needs reshuffle tests bit reduce makespan;2020-01-20T05:32:15.000+0000;Major - P3;0.0;1;0;4
WT;WT-5531;begin preparation intern presentation essentially plan prep technical component presentation including demo changes made utility likely need test case created steps run demo extra bits presentation wont included jira jira primarily technical component;2020-02-05T00:18:44.000+0000;Major - P3;0.0;1;0;4
WT;WT-5510;fix test_hs01 py test_hs06 py test_hs_prepare_reads broken commit 9cd094bf8b12e1f3ea273de3c00e52d5bb294ee0stacktrace test_hs01 py#0 __gi_raise sigsig entry6 sysdeps unix sysv linux raise c51#1 0x00007ffff7a24801 __gi_abort abort c79#2 0x00007ffff5105712 __wt_abort session0xd4de60 src os_common os_abort c30#3 0x00007ffff4fffa7e __wt_txn_begin session0xd4de60 cfg0x0 src include txn i881#4 0x00007ffff4fffbd5 __wt_txn_autocommit_check session0xd4de60 src include txn i922#5 0x00007ffff5001e59 __wt_page_in_func session0xd4de60 ref0xc90f10 flags1040 func0x7ffff51a5db0 __func__ 35390 __wt_row_search line425 src btree bt_read c415#6 0x00007ffff5041519 __wt_page_swap_func session0xd4de60 held0xd99198 want0xc90f10 flags1024 func0x7ffff51a5db0 __func__ 35390 __wt_row_search line425 src include btree i1695#7 0x00007ffff5042b9e __wt_row_search cbt0x122f690 srch_key0x122f790 inserttrue leaf0x0 leaf_safefalse leaf_foundp0x0 src btree row_srch c425#8 0x00007ffff4fda4ee __cursor_row_search cbt0x122f690 inserttrue leaf0x0 leaf_foundp0x0 src btree bt_cursor c414#9 0x00007ffff4fdcb25 __btcur_update cbt0x122f690 value0x122f7b8 modify_type4 src btree bt_cursor c1302#10 0x00007ffff4fdd810 __wt_btcur_update cbt0x122f690 src btree bt_cursor c1580#11 0x00007ffff5082d8d __curfile_update cursor0x122f690 src cursor cur_file c366#12 0x00007ffff50cbaef __hs_insert_record session0xd4de60 cursor0x122f690 btree_id2 key0x122efd0 upd0xf93480 type4 004 hs_value0xd1e8c0 stop_ts_pair src history hs c362#13 0x00007ffff50cc4f8 __wt_hs_insert_updates cursor0x122f690 btree0xddf620 r0x13e4cf0 multi0x1499ee0 src history hs c605#14 0x00007ffff5139db0 __rec_hs_wrapup session0xd4de60 r0x13e4cf0 src reconcile rec_write c2296#15 0x00007ffff513958b __rec_write_wrapup session0xd4de60 r0x13e4cf0 page0xf93750 src reconcile rec_write c2132#16 0x00007ffff5134c8b __reconcile session0xd4de60 ref0x10692a0 salvage0x0 flags86 page_lockedp0x7fffffffbffe src reconcile rec_write c200#17 0x00007ffff513487d __wt_reconcile session0xd4de60 ref0x10692a0 salvage0x0 flags86 src reconcile rec_write c87#18 0x00007ffff50c77a9 __evict_review session0xd4de60 ref0x10692a0 evict_flags4 inmem_splitp0x7fffffffc0df src evict evict_page c630#19 0x00007ffff50c5dba __wt_evict session0xd4de60 ref0x10692a0 previous_state3 flags4 src evict evict_page c149#20 0x00007ffff50c5bdc __wt_page_release_evict session0xd4de60 ref0x10692a0 flags0 src evict evict_page c80#21 0x00007ffff5001d32 __wt_page_in_func session0xd4de60 ref0x10692a0 flags1024 func0x7ffff51a5db0 __func__ 35390 __wt_row_search line425 src btree bt_read c363#22 0x00007ffff5041519 __wt_page_swap_func session0xd4de60 held0xddf738 want0x10692a0 flags1024 func0x7ffff51a5db0 __func__ 35390 __wt_row_search line425 src include btree i1695#23 0x00007ffff5042b9e __wt_row_search cbt0xded9d0 srch_key0xdedad0 inserttrue leaf0x0 leaf_safefalse leaf_foundp0x0 src btree row_srch c425#24 0x00007ffff4fda4ee __cursor_row_search cbt0xded9d0 inserttrue leaf0x0 leaf_foundp0x0 src btree bt_cursor c414#25 0x00007ffff4fdcb25 __btcur_update cbt0xded9d0 value0xdedaf8 modify_type4 src btree bt_cursor c1302#26 0x00007ffff4fdd810 __wt_btcur_update cbt0xded9d0 src btree bt_cursor c1580#27 0x00007ffff5082d8d __curfile_update cursor0xded9d0 src cursor cur_file c366#28 0x00007ffff5422bb0 _wrap_cursor_update selfoptimized argsoptimized wiredtiger_wrap c4451#29 0x0000000000566ea1 _pycfunction_fastcalldict;2020-02-03T01:52:49.000+0000;Major - P3;0.0;1;0;4
WT;WT-5795;disable assertion inserts history store unique part wt 5775 added assertion inserts history store dont find existing entry key assertion firing tests revert assertion spend time understanding inserts find existing key;2020-03-09T11:24:25.000+0000;Major - P3;0.0;1;0;4
WT;WT-5683;test format assertion failure upd type wt_update_standard modified config ive using turn cursor modify operations see could reproduce data mismatch without consistently hit different assertion failure havent seen modify operations turned noformat 1582732033875359 19730x7f7d9dde1700 filewt wt wt_session checkpoint __hs_calculate_full_value 445 upd type wt_update_standard noformat stack noformat #1 0x00007fd9a12a9ce8 abort lib64 libc 6#2 0x000000000049757a __wt_abort session0x7fd9a2670a90 src os_common os_abort c30#3 0x0000000000471945 __hs_calculate_full_value session0x7fd9a2670a90 full_value0x7fd974ffe3d0 upd0x7fd97cbd4a10 base_full_value0x6110f4 size0 src history hs c445#4 0x0000000000471e8f __wt_hs_insert_updates cursor0x7fd97474bc10 btree0xfd3f70 page0x7fd97d01be10 multi0x7fd9740b20c0 src history hs c593#5 0x00000000004b7201 __rec_hs_wrapup session0x7fd9a2670a90 r0x7fd975a9bc10 src reconcile rec_write c2311#6 0x00000000004b6985 __rec_write_wrapup session0x7fd9a2670a90 r0x7fd975a9bc10 page0x7fd97d01be10 src reconcile rec_write c2144#7 0x00000000004b1f12 __reconcile session0x7fd9a2670a90 ref0x7fd9780a7b50 salvage0x0 flags5 page_lockedp0x7fd99b750a1e src reconcile rec_write c191#8 0x00000000004b1b3d __wt_reconcile session0x7fd9a2670a90 ref0x7fd9780a7b50 salvage0x0 flags5 src reconcile rec_write c87#9 0x000000000057b83e __wt_sync_file session0x7fd9a2670a90 syncopwt_sync_checkpoint src btree bt_sync c559#10 0x00000000004fe99a __checkpoint_tree session0x7fd9a2670a90 is_checkpointtrue cfg0x7fd99b750df0 src txn txn_ckpt c1610#11 0x00000000004fecb5 __checkpoint_tree_helper session0x7fd9a2670a90 cfg0x7fd99b750df0 src txn txn_ckpt c1718#12 0x00000000004faf90 __checkpoint_apply_to_dhandles session0x7fd9a2670a90 cfg0x7fd99b750df0 op0x4fec26 __checkpoint_tree_helper src txn txn_ckpt c199#13 0x00000000004fcb11 __txn_checkpoint session0x7fd9a2670a90 cfg0x7fd99b750df0 src txn txn_ckpt c864#14 0x00000000004fd6d1 __txn_checkpoint_wrapper session0x7fd9a2670a90 cfg0x7fd99b750df0 src txn txn_ckpt c1076#15 0x00000000004fd84a __wt_txn_checkpoint session0x7fd9a2670a90 cfg0x7fd99b750df0 waitingtrue src txn txn_ckpt c1133#16 0x00000000004d6ed3 __session_checkpoint wt_session0x7fd9a2670a90 config0x0 src session session_api c1971#17 0x0000000000410be0 checkpoint arg0x0 test format util c547#18 0x00007fd9a1c62dc5 start_thread lib64 libpthread 0#19 0x00007fd9a1369c9d clone lib64 libc 6 noformat update type tombstone noformat gdb p upd1 txnid 36949 durable_ts 68062 start_ts 68062 next 0x7fd975fa82e0 size 0 type 4 004 prepare_state 0 000 flags 0 000 data 0x7fd97cbd4a37 noformat;2020-02-26T16:26:27.000+0000;Major - P3;0.0;1;0;4
WT;WT-5681;test_timestamp04 rollback stable test fails test_timestamp04 rollback stable test fails currently disabled code pyt test_timestamp04ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 0 nolog col_fix ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 1 nolog col_var ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 3 nolog row ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 4 nolog row smallcache ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 5 v1 col_fix ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 6 v1 col_var ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 8 v1 row ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 9 v1 row smallcache ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 10 v2 col_fix ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 11 v2 col_var ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 13 v2 row ferror test_timestamp04 test_timestamp04 test_rollback_to_stable 14 v2 row smallcache fail test_timestamp04 test_timestamp04 test_rollback_to_stable 0 nolog col_fix traceback recent call last file home ubuntu wt b test suite test_timestamp04 py line 177 test_rollback_to_stable self asserttrue upd_aborted key_range 2 assertionerror false truefail test_timestamp04 test_timestamp04 test_rollback_to_stable 1 nolog col_var traceback recent call last file home ubuntu wt b test suite test_timestamp04 py line 177 test_rollback_to_stable self asserttrue upd_aborted key_range 2 assertionerror false true code;2020-02-26T03:57:21.000+0000;Major - P3;0.0;1;0;4
WT;WT-5692;revert test change fix python hang h2 unit test bucket07 failed ubuntu 18 04 https evergreen mongodb com task wiredtiger_ubuntu1804_unit_test_bucket07_patch_ee0f902d78f38daf8b9a37f9569b3637704f900e_5e5709653627e04270d0cc59_20_02_27_00_12_23 0 host ec2 3 94 120 111 compute 1 amazonaws com https evergreen mongodb com host 0221b5ccdf1f621fd project wiredtiger develop https evergreen mongodb com waterfall wiredtiger commit diff https github com wiredtiger wiredtiger commit ee0f902d78f38daf8b9a37f9569b3637704f900e wiredtiger wiredtiger pull request #5323 keithbostic wt 5689 reduce work required cursor pinned test https github com wiredtiger wiredtiger pull 5323 26 feb 20 2305 utcevergreen subscription evergreen event task logs https evergreen mongodb com task_log_raw wiredtiger_ubuntu1804_unit_test_bucket07_patch_ee0f902d78f38daf8b9a37f9569b3637704f900e_5e5709653627e04270d0cc59_20_02_27_00_12_23 0typet;2020-02-27T04:40:23.000+0000;Major - P3;0.0;1;0;4
WT;WT-5360;add template building glossary developer docs would handy new developers somewhere described common words specific meanings wiredtiger create glossary developer documentation content;2019-12-23T05:08:28.000+0000;Major - P3;0.0;1;0;4
WT;WT-6581;fix class name test_hs15 class name test_hs15 currently test_hs14 due copy pasting fix;2020-08-10T23:54:35.000+0000;Major - P3;0.0;1;0;4
WT;WT-5998;multiple version incompatible error log strings wt 4127 added common prefix version incompatibility detected help mongodb suppress benign startup messages due trying different compatibility versions however im seeing early versions 4 2 dont understand log version 4 generating old style log message noformat js_testdisallow_44_to_426_to_424 2020 04 09t114058 189 0400 d20020 2020 04 09t114058 189 0400 e storage initandlisten wiredtiger error 31802 1586446858189094 64550x7fe418334b00 connection __log_open_verify 928 unsupported wiredtiger file version build supports versions 3 file version 4 wt_error non specific wiredtiger error raw 1586446858189094 64550x7fe418334b00 connection __log_open_verify 928 unsupported wiredtiger file version build supports versions 3 file version 4 wt_error non specific wiredtiger error noformat;2020-04-09T15:52:03.000+0000;Major - P3;0.0;1;0;4
