ProjectName;Key;title_desc;Type;Created;LastUpdatedStatus;LastUpdatedStatusDate;Priority;Storypoint;NumWatchers;NumComments;NumIssueLinks;NumAffectedVersions;NumFixVersions;NumChangeHistory;P;S;R
DOCS;DOCS-8393;using many monitoring agents ops manager doc https docs opsmanager mongodb com current tutorial install monitoring agent rpm package #monitoring agent redundancy however probably applies _cloud manager doc_ quote single monitoring agent sufficient strongly recommended however run additional instances agent hot standbys provide redundancy primary agent fails standby agent starts monitoring quote remove strongly recommended redundancy recommended redundancy;Task;2016-07-20T22:38:27.000+0000;Closed;2016-07-21T13:21:58.000+0000;Trivial - P5;0.0;3;0;0;0;0;8;0;0;7
DOCS;DOCS-12567;duplicate line text built roles descriptions h2 descriptionthe line see also clustermanager https docs mongodb com manual reference built roles #clustermanager clustermonitor https docs mongodb com manual reference built roles #clustermonitor role access config local databases seen twice back back multiple sections readwriteanydatabase readanydatabase dbadminanydatabase image 2019 03 25 11 22 15 689 png width699 height253h2 scope changes extracts built roles yaml duplicated text theres include seealso cluster manager makes text extract unnecessary remove unnecessary line extracts file items listed h2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Bug;2019-03-25T11:22:52.000+0000;Closed;2019-03-27T19:43:48.000+0000;Trivial - P5;0.1;1;2;0;0;0;8;0;0;7
DOCS;DOCS-12588;document implication sharded txn clustertime change stream event h2 descriptioncurrently documentation clustertime change stream event saysbq events happened part multi document transaction associated change stream notifications clustertime value namely time transaction committedwhile still factually correct mongodb 4 2 implies something may true two events clustertime always part transaction schwerin pointed two transactions causally consistent execute two different shards could end clustertime associated change stream events h2 scope changes update description clustertime https docs mongodb com manual reference change events h2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Improvement;2019-04-01T21:50:03.000+0000;Closed;2019-05-28T23:34:54.000+0000;Major - P3;0.25;1;1;1;0;0;10;1;0;4
DOCS;DOCS-12592;restoring sharded collection instructions fail authentication h2 descriptionthe instructions restoring sharding cluster existing backup error step 3 removing minoptimerecovery document https docs mongodb com v3 6 tutorial restore sharded cluster #remove minoptimerecovery document admin system versions collection authentication enabled process normal users appropriate rights delete admin system versions instructions account authentication h2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Task;2019-04-02T20:45:18.000+0000;Closed;2019-05-02T16:32:20.000+0000;Major - P3;1.0;8;7;1;0;0;11;1;0;4
DOCS;DOCS-12620;missing one word ops mgr install page h2 descriptionon https docs opsmanager mongodb com current core requirements one word missing probably say http httpsaccessible portsthe ops manager application must able connect users ops manager agents https ops h2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Bug;2019-04-11T18:12:53.000+0000;Closed;2019-04-16T17:30:39.000+0000;Trivial - P5;0.1;1;2;0;0;0;7;0;0;7
DOCS;DOCS-12638;backport docs 12620 v4 0 h2 descriptionh2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Backport Sub-Task;2019-04-16T16:24:57.000+0000;Closed;2019-04-16T17:30:34.000+0000;Major - P3;0.1;1;1;0;0;0;5;1;0;4
DOCS;DOCS-12641;docs server 40321 rolling back prepared transaction capped collection leads invariant failure h2 descriptionh3 documentation request summary transactions shard servers cannot operate capped collections transactions replica sets however part sharded cluster still operate capped collections h3 engineering ticket description inserting document capped collection acquires resource_metadata lock https github com mongodb mongo blob 10f196bb962c6d4f983b9d7b1209aff26f97573a src mongo db catalog collection_impl cpp#l507 l513 codecpp _needcappedlock x lock metadata resource capped collection end wuow prevents primary executing concurrency secondaries see server 21646 lockresourcelock helduntilendofwuow opctx lockstate resourceid resource_metadata _ns ns mode_x code however invariant lockerimplsavelockstateandunlock https github com mongodb mongo blob 10f196bb962c6d4f983b9d7b1209aff26f97573a src mongo db concurrency lock_state cpp#l713 l716 claims resource metadata locks never need saved codecpp never save restore metadata locks invariant resource_database resid gettype resource_collection resid gettype resource_global resid gettype issharedlockmode mode resourceidreplicationstatetransitionlock resid mode mode_ix code noformat thread 34 conn2 received signal sigtrap trace breakpoint trap switching thread 0x7f7917065700 lwp 32518 0x00007f792b992727 raise lib x86_64 linux gnu libpthread 0 gdb bt#0 0x00007f792b992727 raise lib x86_64 linux gnu libpthread 0#1 0x0000556d7486172b mongobreakpoint src mongo util debugger cpp75#2 0x0000556d72b0b177 mongoinvariantfailed exprexpr entry0x556d749e8a38 resource_database resid gettype resource_collection resid gettype resource_global resid gettype issharedlockmode mode resourceidreplicationstatetransitionlock res filefile entry0x556d749e8670 src mongo db concurrency lock_state cpp lineline entry716 src mongo util assert_util cpp102#3 0x0000556d72adf972 mongoinvariantwithlocationbool testokoptimized line716 file0x556d749e8670 src mongo db concurrency lock_state cpp expr0x556d749e8a38 resource_database resid gettype resource_collection resid gettype resource_global resid gettype issharedlockmode mode resourceidreplicationstatetransitionlock res src mongo util invariant h64#4 mongolockerimplsavelockstateandunlock this0x556d7c293b00 stateout0x556d7c28ea20 src mongo db concurrency lock_state cpp714#5 0x0000556d73c73695 mongotransactionparticipanttxnresourcestxnresources this0x7f7917062500 wl opctx0x556d7cedf180 stashstyleoptimized opt mongodbtoolchain stow gcc v3 zr9 include c++ 8 2 0 bits unique_ptr h342#6 0x0000556d73c74d11 mongotransactionparticipantparticipantrefreshlocksforpreparedtransaction thisthis entry0x7f79170625c8 opctxopctx entry0x556d7cedf180 yieldlocksyieldlocks entrytrue src mongo util concurrency with_lock h72#7 0x0000556d7333dedf mongolambda mongooperationcontext const sessiontokill operator __closureoptimized session killeropctx0x556d7cedf180 src mongo db kill_sessions_local cpp195#8 std_function_handlervoid mongooperationcontext const mongosessioncatalogsessiontokill mongoyieldlocksforpreparedtransactions mongooperationcontext lambda mongooperationcontext const sessiontokill _m_invoke const std_any_data mongooperationcontext const mongosessioncatalogsessiontokill __functor __args#0optimized __args#1 opt mongodbtoolchain stow gcc v3 zr9 include c++ 8 2 0 bits std_function h297#9 0x0000556d7333e3b1 stdfunctionvoid mongooperationcontext mongosessioncatalogsessiontokill const operator mongooperationcontext mongosessioncatalogsessiontokill const const __args#1 __args#0optimized this0x7f7917062a00 opt mongodbtoolchain stow gcc v3 zr9 include c++ 8 2 0 bits std_function h682#10 mongo anonymous namespace killsessionsaction mongooperationcontext const mongosessionkillermatcher const stdfunctionbool const mongoobservablesession const stdfunctionvoid mongooperationcontext const mongosessioncatalogsessiontokill mongoerrorcodeserror opctx0x556d7cedf180 matcher filterfn killsessionfn reasonoptimized src mongo db kill_sessions_local cpp80#11 0x0000556d7333f20c mongoyieldlocksforpreparedtransactions opctxoptimized opt mongodbtoolchain stow gcc v3 zr9 include c++ 8 2 0 bits unique_ptr h342#12 0x0000556d72ecebb0 mongoreplreplicationcoordinatorimplstepdown this0x556d786ee680 opctxoptimized forceoptimized waittime stepdowntime src mongo db repl replication_coordinator_impl cpp2032#13 0x0000556d72e89e6e mongoreplcmdreplsetstepdownrun thisoptimized opctx0x556d7cf46180 cmdobj result src mongo util duration h227#14 0x0000556d740c9294 mongobasiccommandinvocationrun this0x556d78600840 opctx0x556d7cf46180 resultoptimized src mongo db commands cpp592#15 0x0000556d72ff7032 mongo anonymous namespace runcommandimpl sessionoptions extrafieldsbuilder0x7f79170632c0 behaviors startoperationtime replybuilder0x556d7cf105d0 request invocationoptimized opctxoptimized src mongo db service_entry_point_common cpp479#16 mongo anonymous namespace execcommanddatabase opctxoptimized command0x556d75822840 mongoreplcmdreplsetstepdown request replybuilderoptimized behaviors src mongo db service_entry_point_common cpp818#17 0x0000556d72ff7ebe mongo anonymous namespace lambda operator void const __closure0x7f7917063ce0 opt mongodbtoolchain stow gcc v3 zr9 include c++ 8 2 0 bits unique_ptr h342#18 0x0000556d72ff8790 mongo anonymous namespace receivedcommands behaviors message opctxoptimized src mongo db service_entry_point_common cpp905#19 mongoserviceentrypointcommonhandlerequest opctx0x556d7cf46180 behaviors src mongo db service_entry_point_common cpp1249#20 0x0000556d72fe755c mongoserviceentrypointmongodhandlerequest thisoptimized opctxoptimized src mongo db service_entry_point_common h59 noformat h2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Task;2019-04-18T00:11:29.000+0000;Closed;2019-08-06T13:57:56.000+0000;Major - P3;0.25;3;2;3;0;1;13;1;0;4
DOCS;DOCS-12557;base url isnt reflected api examples h2 descriptionon api docs pages example url doesnt take account base url cloud manager page https docs cloudmanager mongodb com reference api measures get host process system measurements example url noformat https cloud mongodb com groups group id hosts host id measurementsgranularity time increment period period prettytrue noformat noformat https cloud mongodb com api public v1 0 groups group id hosts host id measurementsgranularity time increment period period prettytrue noformat similarly ops manager page https docs opsmanager mongodb com current reference api measures get host process system measurements says noformat https opsmanager host port groups group id hosts host id measurementsgranularity time increment period period prettytrue noformat say noformat https opsmanager host port api public v1 0 groups group id hosts host id measurementsgranularity time increment period period prettytrue noformat might even want change base url om docs noformat om central url api public v1 0 noformat reflect om web server may running ssl equivalent atlas api page https docs opsmanager mongodb com current reference api measures get host process system measurements appears fine except extra example url h2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Task;2019-03-20T21:52:50.000+0000;Closed;2019-04-11T16:05:36.000+0000;Major - P3;0.2;1;1;0;0;0;8;1;0;4
DOCS;DOCS-12645;backport docsp 10065 v4 0 h2 descriptionh2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Backport Sub-Task;2019-04-23T19:34:58.000+0000;Closed;2019-04-26T04:52:16.000+0000;Major - P3;0.1;1;1;0;0;0;5;1;0;4
DOCS;DOCS-12650;manual restoration procedure sharded clusters mention disablelogicalsessioncacherefresh h2 descriptionstarting mongodb v3 6 collections assigned immutable unique identifier uuid https docs mongodb com manual core databases collections index html#unique identifiers collection uuid remains across members replica set shards sharded cluster functionality comes effect featurecompatibilityversion set v3 6 uuid necessary logical sessions https docs mongodb com manual reference server sessions index html transactions introduced v4 0 also means starting v3 6 oplog operation fail uuid actual collection server match uuid operation could interpreted inconsistency therefore results abnormal termination mongod process crash experienced creates problem manual restoration sharded clusters specifically step 1 https docs mongodb com manual tutorial restore sharded cluster #restore shard primary mongod data files say member shard needs started standalone certain manipulations metadata problem user restoring om cm snapshot takes 5 minutes keep member standalonethen config systems collection get created automatically member uuid _not_ match rest cluster later cause crashes see help 6628 possibly undefined behaviour solution make sure node started standalone restore procedure started disablelogicalsessioncacherefresh parameter undocumented yet enabled h2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;Bug;2019-04-24T05:15:38.000+0000;Closed;2019-05-09T15:52:24.000+0000;Major - P3;0.5;2;6;0;1;0;8;1;0;4
