ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
EVG;EVG-5960;blocked tasks blocked forever believe either timeout different status especially dependency relies fails denotes task run;2019-03-13T15:35:33.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7235;consider region creating client modify getmanageroptions fromdistrosettings choose providersettings region although initially set always default potentially places;2020-01-21T14:53:53.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8938;log warning check mongo driver error instead mgo error mongodepot check mongo driver error documents instead mgo driver error;2019-08-12T22:09:06.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7234;cleanup providersettings move potentially two fields considered moving data provider settings new provider settings variable point need go back remove support old field;2020-01-21T14:53:53.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8944;run ssh client non interactive flags since ssh client runs without user input disable pty allocation logs;2020-02-14T12:39:28.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8949;fix op types theyre type int instead optype;2019-10-29T17:02:01.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8923;suppress ssh related output cli ssh jasper ssh client depends output command json output jasper cli output ssh cause fail parse json particularly problematic since default log level warn trying add new host list known hosts;2019-07-30T17:27:55.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8878;omit server name field rpc credentials server name marshalled part rpc credentials since used memory way handling case name tls certificate doesnt match host name;2019-07-22T15:36:32.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8885;add lint pull request tasks lint currently tested prs;2019-10-31T14:39:38.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8893;check potentially multiple cookies name staging prod confused clear cookie browser present first request;2020-03-11T19:19:50.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8901;create permissions type aws permissions create permissions type aws permissions;2019-05-14T19:07:09.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8912;redirecterrortooutput actually redirect stderr stdout currently opposite supposed;2019-09-16T20:46:59.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8918;sanity check empty user many noisy logs requests made evergreen user middleware dont user headers header check user middleware check api key name set trying get user manager;2020-03-11T18:49:13.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8965;remove unused lint package github com surullabs lint unused;2019-10-22T18:12:52.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7217;spruce assert console errors warnings add test app asserts console warnings errors new code added;2020-01-14T13:40:47.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-5125;cannot get links artifacts execution tasks project githash spiraled bit trying come different options possible ive overlooked something https evergreen mongodb com rest v1 versions mongodb_mongo_master_bc880e13829b89ee46c0715c5534c8ef1ac387f3 status lists task ids unittests display task unittests execution task https evergreen mongodb com rest v1 tasks mongodb_mongo_master_enterprise_rhel_62_64_bit_coverage_display_unittests_bc880e13829b89ee46c0715c5534c8ef1ac387f3_18_08_02_18_14_03 reports files null evg 3283 originally described https evergreen mongodb com rest v2 tasks mongodb_mongo_master_enterprise_rhel_62_64_bit_coverage_display_unittests_bc880e13829b89ee46c0715c5534c8ef1ac387f3_18_08_02_18_14_03 reports artifacts null despite changes evg 3283 appears artifacts listed https evergreen mongodb com rest v2 tasks mongodb_mongo_master_enterprise_rhel_62_64_bit_coverage_unittests_bc880e13829b89ee46c0715c5534c8ef1ac387f3_18_08_02_18_14_03 isnt listed rest v1 versions version_id status endpoint tried use rest v2 projects project_id revisions commit_hash tasks endpoint didnt work https evergreen mongodb com rest v2 projects mongodb mongo master revisions bc880e13829b89ee46c0715c5534c8ef1ac387f3 tasks returns noformat status 404 error task project mongodb mongo master commit bc880e13829b89ee46c0715c5534c8ef1ac387f3 found noformat https evergreen mongodb com rest v2 projects mongodb_mongo_master revisions bc880e13829b89ee46c0715c5534c8ef1ac387f3 tasks noformat status 404 error task project mongodb_mongo_master commit bc880e13829b89ee46c0715c5534c8ef1ac387f3 found noformat;2018-08-05T04:06:12.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7205;spruce auth protected routes redirect user login page authenticated # login page nothing special since need designs final version # auth context state holds global auth state current user # auth wrapper protected routes # query response middleware afterware updates auth context based request response;2020-01-13T14:01:00.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7208;tests table queries tests task ticket includes table include tabs e tests execution tasks etcshows row test name status time showing logs test done separate ticket infinite scroll also another ticket task page tests branch png;2020-01-13T14:56:09.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-9002;github status api sender sets wrong field urls set targeturl url;2018-05-21T15:05:08.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8976;change default jasper ports jasper default ports currently 2286 rpc 2287 rest since agent uses port 2285 high likelihood port conflict ports currently used evergreen use different port range;2019-05-31T20:00:35.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8983;move file checksum logic utility mostly jasper use experimental dependency cache implementation;2020-06-01T15:45:58.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8986;setinput return command object match command building methods also return command object;2019-07-26T13:49:08.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8991;rpc allow memory logs checked functionality already exists rest service https github com mongodb jasper blob 4cd0d9cec44f3d9c77bb6dca1fbb26b728425310 rest_service go#l533 l576 logs sent buffered stream;2019-04-19T16:59:20.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8997;handle reauthorization given expiration time current ldap manager reauthorizes users ttl configured one hour right checking users ldap groups new okta user manager also kind periodic checks okta checking user group similar way ldap currentl ydone requires using users access token expires amount time token expired handle getting new one could potentially achieved requesting refresh tokens access token refresh token invalid redo authentication get tokens theres also possibility cant use refresh tokens e due security policies might user go silent reauthentication without login prompt go route somehow know redirect user;2020-01-07T14:35:13.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8999;windows needs password running service cli provide password flag environment variable allow users run service password;2019-09-25T17:49:46.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-9003;call git get_project setup group git get_project done beginning task group host setting doesnt need done every single task;2020-06-08T14:14:20.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8720;create manager allows multiple auth methods able combine auth methods single user manager multiple auth applies getting users creating new users avoid possibly creating multiple users;2020-02-21T16:54:33.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8739;add rate limited jobs amboy right exists concept rate limited jobs sense set id rounded timestamp generating duplicate key error collision ignore would nice formal notion rate limited job doesnt generate errors handle specific case enqueued another type still queue;2020-01-27T14:46:24.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7309;mutation remove favorite project user given project id remove project users favorites;2020-01-31T22:36:07.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7264;configurable logging s3 use environment variables either shared credentials file iam roles;2020-01-24T18:19:24.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8843;run non interactive sudo check sudo check oom tracker https github com mongodb jasper blob 88f51a01ba3d780c866571693a2e67d1157238d4 subtree_oom go#l32 l43 needs run non interactive mode since oom tracker wont supply password;2019-08-01T20:23:02.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8860;allow address retrieved service service reply whatmyuri part mongo wire easier address read;2019-10-30T15:51:02.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8862;remove slices pointers messages slices pointers currently used two places https github com tychoish mongorpc blob 92e26d3d5f8e011ad5a39923a04d4dcf2040fff1 mongowire message go#l24 https github com tychoish mongorpc blob 92e26d3d5f8e011ad5a39923a04d4dcf2040fff1 mongowire message go#l69;2019-10-31T14:36:13.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-8863;allow logging configured cli interceptors https github com mongodb jasper blob f67da3ffa80bfe02fae5f0960198cc34aff41dd4 rpc service go#l36 l37 jasper rpc service allow log rpc requests made would useful enable debugging hosts future;2019-07-31T16:08:27.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7284;fix copied host allocator settings misspelling js file isnt copied clone distro;2020-01-27T19:42:22.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7152;admins run script groups hosts admins run script groups hosts;2020-01-06T22:28:15.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7151;spawnhost option mount volume users home directory spawnhost option mount volume users home directory;2020-01-06T22:28:15.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-9225;splunk logger panics setup fails closers called checking error causes panics theres error;2019-08-16T20:06:13.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-9235;add yaml unmarshalstrict variant utility operations utility package provides convenience functions wrapping regular yaml unmarshal also provide strict variants stricter yaml parsing;2020-05-21T18:16:00.000+0000;Major - P3;0.0;1;0;4
EVG;EVG-7149;reverse proxy code server evergreen app servers reverse proxy code server evergreen app servers;2020-01-06T22:28:14.000+0000;Major - P3;0.0;1;0;4
