ProjectName;Key;title_desc;Created;Priority;Storypoint;P;S;R
DOCS;DOCS-13578;csharp driver docs incorrect link h2 descriptionpage https docs mongodb com drivers csharp#how get helpitem jira projecthyperlinks https jira mongodb org browse godriverthis hyperlink https jira mongodb org browse csharph2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;2020-04-08T21:27:00.000+0000;Major - P3;0.0;1;0;4
DOCS;DOCS-13577;csharp docs broken link h2 descriptionpage https docs mongodb com drivers csharpitem changeloggoes https mongodb github io mongo csharp driver 2 10 reference what_is_new page foundh2 scope changesh2 impact docsh2 mvp work date h2 resources scope design docs invision etc;2020-04-08T21:24:22.000+0000;Major - P3;0.0;1;0;4
DOCS;DOCS-8393;using many monitoring agents ops manager doc https docs opsmanager mongodb com current tutorial install monitoring agent rpm package #monitoring agent redundancy however probably applies _cloud manager doc_ quote single monitoring agent sufficient strongly recommended however run additional instances agent hot standbys provide redundancy primary agent fails standby agent starts monitoring quote remove strongly recommended redundancy recommended redundancy;2016-07-20T22:38:27.000+0000;Trivial - P5;0.0;0;0;7
DOCS;DOCS-7104;ext4 wt incompatibilities currently lacking comprehensive explanation issues arise wt running ext4 specifically details issue conditions manifest symptoms similar pages explaining numa low ulimits negatively impact cluster therefore makes sense page covering ext4s issue bit detail particularly since widely accepted filesystem issues manifest certain conditions;2016-02-05T18:58:52.000+0000;Critical - P2;0.0;2;0;1
DOCS;DOCS-4894;pre aggregated reports use case doc needs changing reflect wiredtiger use pre aggregated reports use case doc page http docs mongodb org ecosystem use cases pre aggregated reports one important use case pages mongodb used reference many customers users especially w r time series type usage patterns often found financial services iot introduction wiredtiger mongodb version 3 0 advice page may longer applicable may need marked applying mmapv1 use page defines 4 key patterns1 pre aggregation update averages mins maxs consumed event rather recording raw event 2 bucketing grouping sets records together eg day fast subsequent access pattern deal consuming lots fine grained events servicing analytics reports want retrieve coarse grained data 3 pre allocation aka pre padding avoid excessive document growth allocation 4 intra document hierarchy prevent event ingestion latencies increasing time day increases note patterns also documented chapter 4 book mongodb applied design patterns rick copeland oreilly introduction wiredtiger likely pattern 3 pre allocation longer required perhaps would even detrimental due way wiredtiger deals place updates internally also could pattern 4 intra document hierarchy also adds value using wiredtiger needs validated someone please update doc page indicate 4 patterns applied running wiredtiger rather mmapv1;2015-03-03T10:15:26.000+0000;Major - P3;0.25;1;0;4
DOCS;DOCS-4923;expand 1 config server 3 config servers doesnt mention mongos command line change http docs mongodb org manual tutorial deploy config servers #deploy three config servers production deploymentsthis really great guide expanding one config server three config servers purposes deploying existing system production mentions use existing command line config servers omits necessary command line change mongos include three config servers restarted instructions say cluster continue use one config server believe covered step 4;2015-03-05T19:35:05.000+0000;Major - P3;0.25;1;0;4
DOCS;DOCS-4928;comment manual reference ulimit txt update suse note suse ulimit note cover starting server manually andrew davidson 10gen com discovered also doesnt include packages ulimit settings maybe instead sles packages mongodb adjust limits default scripts need make change manually using custom scripts tarball release rather sles packages could say something similar sles packages mongodb adjust limits default init script need make change manually using custom scripts youve installed via tarball release rather sles packages start mongod manually without using init script;2015-03-05T23:29:28.000+0000;Minor - P4;0.5;0;0;7
DOCS;DOCS-4992;clarify hostname connection string uri seed host list driver use connection string uri make initial connection mongod mongos instance establish new connections detects connected replica set sharded cluster hostname used connect doesnt match used define replica set sharded cluster implication driver needs able resolve internal names used define mongo cluster hostname ip provided original client supplied uri recommend updating following docs page clarify host1 seed host driver make additional connections based cluster configuration http docs mongodb org manual reference connection string clarification could also added driver documentation pages;2015-03-12T09:55:57.000+0000;Major - P3;0.25;1;0;4
DOCS;DOCS-5069;2 6 upgrade docs mention config overwrite behavior regarding instructionshttp docs mongodb org manual release notes 2 6 upgrade 2 6 upgrade instructions linux mention using yum rpm existing etc mongod conf replaced old one moved rpmsave see server 13563 previous settings manually merged new config file;2015-03-20T23:10:25.000+0000;Major - P3;1.0;1;0;4
DOCS;DOCS-5096;add clarification warning places 32 bit builds h2 documentation changes add blurb stating solaris supports wiredtiger possibly clarify 3 0 docs 32 bit releases supported production lower priority h2 descriptionmongod org downloads http docs mongodb org manual installation provide adequate warnings 32 bit releases test supported production 3 0 fact latter url states supported somewhat unclear terms please add firm warning clearfurthermore page states solaris smartos supported true mmap wt also clarified downloads page;2015-03-24T22:08:08.000+0000;Minor - P4;0.25;0;0;7
DOCS;DOCS-5250;comment manual tutorial administer shard tags txt create two examples tag aware sharding one covering local writes use case covering keeping data within country compliance reasons would nice neither us centric dont think everyone understands zipcodes mean;2015-04-20T16:23:21.000+0000;Major - P3;0.25;1;0;4
DOCS;DOCS-5258;munin node docs refer enable collection agent would nice configure hardware monitoring munin node made point say enablemunin set true order setup used;2015-04-22T14:57:09.000+0000;Minor - P4;1.0;0;0;7
DOCS;DOCS-4824;clarify distinct command uses indexes link texthttp docs mongodb org manual reference command distinct following text include additional clarification users aware works starting version 2 6 quote possible distinct command uses index find documents return values quote please replace something like following order reflect index may chosen chosen quote convenient use covered indexes db collection distinct method use index find documents query well return results covered used index prefixed field distinct method although cases compound index distinct field prefix may suitable covered index query mongodb cannot reliably determine suitability instead use underlying documents earlier versions mongodb would attempt use index containing distinct field quote;2015-02-13T21:10:13.000+0000;Major - P3;0.25;1;0;4
DOCS;DOCS-5341;comment manual core replica set write concern txt need clarify replica write concern take votes account dont;2015-05-04T17:14:51.000+0000;Major - P3;0.25;1;0;4
DOCS;DOCS-5400;explain mod handles negative numbers mod function doesnt describe behaves negative numbers whats 1 10 example programming languages generally split answer question python ruby say 9 java c say 1 nonnegative result arguably mathematically correct mongodb generally follows javascript maybe gives 1 herewhichever one mongodb today figure trial error since documented guaranteed stable;2015-05-08T18:54:48.000+0000;Minor - P4;0.25;0;0;7
DOCS;DOCS-5424;opsmanager install emphasize importance gen key https docs opsmanager mongodb com current tutorial configure application high availability #the gen key filein opsmanager deployment emphasize importance gen key generated first start opsmanager without gen key file mms app db usable strongly suggest storing backing gen key file level persistence security would password certificate;2015-05-12T18:20:20.000+0000;Major - P3;1.0;1;0;4
DOCS;DOCS-5432;clarify show dbs behavior h2 documentation changes make note reference mongo shell explaining empty databases listed explain use db create database h2 behavior summary quote databases created exist inserting first document collection database databases collections created implicitly however creating database collection object client create database collection use db create new database files empty databases listed output show dbs partially storage engine dependent mmapv1 impossible extant empty database cannot create database except inserting data even later drop data small amount internal overhead remains one exception 3 0 show dbs reported admin database empty cases corresponding wiredtiger report databases data storage engines may different behavior quote;2015-05-14T00:28:40.000+0000;Minor - P4;0.5;0;0;7
DOCS;DOCS-5435;add example using maxtimems aggregation page cursor maxtimems example maxtimems works aggregation pipelines;2015-05-14T16:41:01.000+0000;Minor - P4;0.25;0;0;7
DOCS;DOCS-5489;comment manual reference command findandmodify txt docs saythe findandmodify method ignores new option remove operationsbut code https github com mongodb mongo blob r3 0 3 src mongo db commands find_and_modify cpp#l111 114 says something different noformat returnnew errmsg remove returnnew cant co exist return false noformat note like since v2 2;2015-05-22T15:19:51.000+0000;Minor - P4;0.25;0;0;7
DOCS;DOCS-5549;comment manual core write concern txt need clarify journal commit means commit disk every storage engine clarify section increasing frequency journal commit since applies mmapv1 wiredtiger journal sync disk synchronous jtrue;2015-06-03T14:07:19.000+0000;Major - P3;0.25;1;0;4
DOCS;DOCS-5579;comment manual core backups txt h5 documentation changesdescribe process copying data files h5 descriptiongreat tell make backup copying underlying data files proceed tell snapshots want know files need copy correct copy database could restore lower tier environment;2015-06-08T14:15:39.000+0000;Trivial - P5;0.5;0;0;7
DOCS;DOCS-5587;comment manual tutorial split chunks sharded cluster txt statement extremely hopeful contemplate converting big replica set sharded dbwhen shard collection existing data mongodb automatically creates chunks evenly distribute collectionhowever doesnt give idea im sure confident technique things ive found seem relevant challenge suggest somewhat involved approaches pre splitting data http stackoverflow com questions 19672302 programatically pre split guid based shard key mongodb statement telling hope strategy would create new sharded cluster original replica set one shard would drain shard goes page sayshttp docs mongodb org manual tutorial remove shards cluster procedure describes safely remove single shard use procedure migrate entire cluster new hardware think understand intent theres room different interpretations closehttp docs mongodb org manual tutorial convert replica set replicated shard cluster isnt complete statement;2015-06-09T04:24:53.000+0000;Major - P3;0.25;1;0;4
DOCS;DOCS-5648;numberlong numberint documentation see http docs mongodb org manual reference mongodb extended json #numberlong specifically state numberlong 64 bit signed integer must include quotation marks interpreted floating point number resulting loss accuracy mongoimport currently treat quoted unquoted forms imported expected cause unquoted form treated floating point number documentation http docs mongodb org manual reference mongodb extended json #input mongo shell mode true leads different behavior tools vs mongo shell;2015-06-16T18:45:36.000+0000;Major - P3;0.5;1;0;4
DOCS;DOCS-5703;explain query document references include examples page http docs mongodb org manual tutorial model referenced one many relationships documents shown query document reference require example query retrieve first document selected document 2nd 3rd;2015-06-23T12:51:37.000+0000;Minor - P4;0.3;0;0;7
